year,peninsula,nest_success,species
1992,unspec,,bcnh
1993,unspec,,bcnh
1994,unspec,,bcnh
1995,unspec,,bcnh
1996,unspec,,bcnh
1997,unspec,,bcnh
1998,unspec,,bcnh
1999,unspec,,bcnh
2000,unspec,,bcnh
2001,unspec,,bcnh
2002,unspec,,bcnh
2003,unspec,,bcnh
2004,unspec,,bcnh
2005,unspec,,bcnh
2006,unspec,,bcnh
2007,unspec,,bcnh
2008,unspec,,bcnh
2009,unspec,0.03,bcnh
2010,unspec,0.45,bcnh
2011,unspec,0.45,bcnh
2012,unspec,0.67,bcnh
2013,unspec,0.19,bcnh
2014,unspec,0.29,bcnh
2015,unspec,0.38,bcnh
2016,unspec,0.26,bcnh
2017,unspec,0,bcnh
2018,unspec,0,bcnh
2019,unspec,0,bcnh
2020,unspec,0,bcnh
2021,unspec,,bcnh
2022,unspec,,bcnh
2023,unspec,,bcnh
