year,management,winter nest removal,deterrence with active nest removal,deterrence at night,ground nest enhancements,,,,,,,,
1992,0,,,,,,,,,,,,
1993,0,,,,,,,,,,,,
1994,0,,,,,,,,,,,,
1995,0,,,,,,,,,,,,
1996,0,,,,,,,,,,,,
1997,0,,,,,,,,,,,,
1998,0,,,,,,,,,,,,
1999,0,,,,,,,,,,,,
2000,0,,,,,,,,,,,,
2001,0,,,,,,,,,,,,
2002,0,,,,,,,,,,,,
2003,0,,,,,,,,,,,,
2004,0,,,,,,,,,,,,
2005,0,,,,,,,,,,,,
2006,0,,,,,,,,,,,,
2007,0,,,,,,,,,,,,
2008,0,,0,0,,,,,,,,,
2009,1,0,0,1,1,,,,,,,,
2010,1,1,1,1,1,,,,,,,,
2011,1,1,1,1,1,,,,,,,,
2012,1,1,1,0,1,,,,,,,,
2013,1,1,1,1,1,,,,,,,,
2014,1,1,1,1,1,,,,,,,,
2015,1,1,1,1,1,,,,,,,,
2016,1,1,1,1,1,,,,,,,,
2017,1,,,,,,,,,,,,
2018,1,,,,,,,,,,,,
2019,1,,,,,,,,,,,,
2020,1,,,,,,,,,,,,
2021,1,,,,,,,,,,,,
2022,1,,,,,,,,,,,,
2023,1,,,,,,,,,,,,
